Código;Nome do cargo na Pesquisa;Cargos Similares;Missão do Cargo;;;;;;;;;;;;;;;;;;;
49;Gerente de Atendimento e Suporte;"Gerente de Apoio; Gerente de Apoio ao Usuário; Gerente de Suporte; Gerente de Suporte a Sistemas; Gerente de Suporte ao Cliente; Gerente de Suporte Técnico; Gerente de Relacionamento Cliente; Gerente de Service Desk; Gestor de Atendimento; Gestor de Portifólio de Projetos; Gestor de Suporte";Gerenciar diretamente a equipe de atendimento ao cliente, assegurando a satisfação dos clientes com o suporte e atendimento prestados. Planejar, acompanhar e administrar o desempenho da equipe, definindo rotinas de trabalho, técnicas de abordagem e estratégias para cumprir metas e prazos. Identificar prioridades e fornecer materiais e equipamentos necessários para a execução dos serviços, promovendo o desenvolvimento profissional da equipe. Oferecer condições de treinamento nos aplicativos e ferramentas disponibilizados aos clientes. Atender clientes e encaminhar demandas verificadas, garantindo a resolução eficaz dos problemas. Implementar melhorias contínuas nos processos de atendimento e suporte. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
493;Gerente de Comércio Exterior;"Gerente de Importação e Exportação;";Gerenciar os processos de importação e exportação de produtos e serviços, garantindo conformidade com normas e leis mercantis, alfandegárias e fiscais. Implementar estratégias de negócios para a expansão de mercados e identificação de novos fornecedores. Contribuir com o planejamento estratégico da empresa, desenvolvendo soluções inovadoras para otimizar operações de comércio exterior. Gerenciar e desenvolver equipes, promovendo a eficiência e a melhoria contínua. Monitorar indicadores de desempenho e assegurar a satisfação dos clientes e parceiros comerciais. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
109;Gerente de Compras;"Chefe de Compras; Gerente de Licitações; Gerente de Planejamento de Compras; Gerente de Suprimentos;";Gerenciar orçamentos de materiais secundários, garantir o bom andamento dos processos de compra, atender solicitações internas visando a melhor relação custo x benefício, controlar o estoque, conduzir reuniões com fornecedores para avaliar produtos, realizar pesquisas de novas opções, analisar as necessidades de compra, preparar relatórios, ser o interlocutor entre requisitantes e fornecedores, e desenvolver estratégias de compra para a empresa.;;;;;;;;;;;;;;;;;;;
135;Gerente de Infraestrutura de TI;;Gerenciar controlar a área de Infraestrutura TI, em consonância com a estratégia da empresa, estabelecendo estratégias e coordenando o planejamento de soluções, desenvolvendo processos e procedimentos, garantindo a continuidade dos serviços e suporte, planejando a evolução das ferramentas e da estrutura da empresa compartilhando com as demais áreas técnicas. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
569;Gerente de Logística;"Gerente de PCP; Gerente de Supply Chain";Gerenciar a área, equipes e processos de supply chain, PCP e/ou logística. Analisar indicadores de resultados da área, desenvolvendo e implementando procedimentos corretivos ou de melhoria. Gerenciar recursos da área. Garantir que atividades sejam desenvolvidas em conformidade com as normas e procedimentos técnicos, de qualidade, segurança, meio ambiente e saúde. Identificar e implementar novas tecnologias. Assessorar a Diretoria. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
464;Gerente de Loja;;Gerenciar e supervisionar as operações das lojas. Desenvolver e acompanhar a equipe das lojas em técnicas comerciais e de atendimento a clientes. Identificar e sanar deficiências na equipe. Fiscalizar o salão de vendas e a exposição de produtos de acordo com padrões de visual merchandising. Identificar oportunidades de melhorias nos processos das lojas. Reforçar, acompanhar e cobrar execução de metas. Observar o mercado, tanto o cliente da rede quanto as ações da concorrência. Atenção aos detalhes, considerar as observações e sugestões e tomar ações necessárias para implantação de melhorias em acordo com os padrões da empresa. Conhecer cliente alvo das lojas, propor melhorias e ajustar necessidades identificadas. Propor ações focais para melhorar o desempenho / venda. Orientar e acompanhar as atividades do pessoal da loja nos setores de vendas, caixa e estoque. Executar as atividades relacionadas à parte administrativa da loja. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
112;Gerente de Marketing;"Gerente de Branding; Gerente de Comunicação; Gerente de Eventos; Gerente de Marca";Elaborar planos estratégicos da área de marketing. Implementar atividades e coordenar sua execução. Assessorar a diretoria e setores da empresa. Na área de atuação, gerenciar recursos humanos, administrar recursos materiais e financeiros e promover condições de segurança, saúde, preservação ambiental e qualidade. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
311;Gerente de Operações;"Gerente de Negócios e Operações; Gerente de Operações e Digital; Gerente Operacional";Gerenciar e otimizar os serviços de apoio na área de Mesa de Operações, garantindo o atendimento eficiente a clientes internos e externos, fornecendo e recebendo informações precisas sobre produtos e serviços. Coordenar a equipe, promovendo melhorias contínuas para assegurar a eficiência operacional e a satisfação dos clientes.;;;;;;;;;;;;;;;;;;;
66;Gerente de Pesquisa e Desenvolvimento P&D;"Gerente de Pesquisa e Desenvolvimento; Gerente de Tecnologia e Pesquisa";Gerenciar recursos, equipes e processos de inovação, pesquisa e desenvolvimento. Validar novas tecnologias, produtos, materiais, metodologias e técnicas, garantindo sua implementação. Proteger propriedade intelectual da organização. Monitorar indicadores para tomada de decisões em P&D. Disseminar resultados e atividades. Otimizar desempenho da área de P&D. Gerenciar e captar recursos de P&D. Incentivar atividades de P&D. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
613;Gerente de Produção;;Gerenciar sistemas e atividades de produção nos diversos negócios e segmentos. Definir e gerenciar planos operacionais, analisando a demanda de produtos, a capacidade produtiva e recursos. Elaborar planos de racionalização e redução de custos, plano de investimentos, orçamento de despesas e necessidades de matérias-primas. Planejar a produção, programando mão-de-obra e paradas ou intervenções em máquinas, equipamentos e instrumentos. Acompanhar os processos de armazenagem e expedição dos produtos/equipamentos. Gerenciar equipes de trabalho. Garantir o cumprimento das ações de proteção ao meio ambiente e das normas de higiene e segurança no trabalho. Treinar suas equipes. Desenvolver e gerenciar a implantação de métodos e técnicas para otimizar o processo produtivo. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
407;Gerente de Produto;"Gerente de Novos Produtos; Gerente de Produtos e Serviços; Gestor de Produtos; Product Manager";Responsável pela visão do Produto, desenvolvimento do time, execução do planejamento de produto, práticas e melhorias do produto. Identificar e avaliar oportunidades para o produto de diferentes fontes como: clientes, concorrentes, análises de mercado, feedback interno de áreas transversais. Compreender e representar as necessidades do usuário. Acompanhar o mercado e desenvolver análises competitivas. Priorizar recursos e funções do produto. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
632;Gerente de Qualidade;Gerente de Gestão Integrada;Definir, implementar e gerenciar plano operacional de qualidade. Analisar indicadores . Planejar, programar mão-de-obra e paradas ou intervenções em máquinas, equipamentos e instrumentos industriais. Gerenciar equipes , promover o desenvolvimento das equipes por meio de cursos e treinamentos. Assegurar e promover o cumprimento das ações de proteção ao meio ambiente e também pelas normas de higiene e segurança no trabalho. Desenvolvem e implantar métodos e técnicas que visam melhorar e otimizar o processo de produção. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
113;Gerente de RH / DP;"Gerente de Desenvolvimento Humano e Organizacional; Gerente de DHO; Gerente de Gestão de Pessoas";Gerencia a área de recursos humanos, planeja e desenvolve estratégias de recrutamento e seleção, treinamento e desenvolvimento, planos de cargos e salários, administração pessoal e relações trabalhistas e sindicais, de acordo com as exigências legais e políticas da empresa. Desenvolvimento e implementação de estratégias de RH e iniciativas alinhadas com a estratégia de negócios geral. Estimular um ambiente de trabalho positivo. Supervisionar e gerenciar um sistema de avaliação do desempenho que motive o alto desempenho. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
1045;Gerente de Transportes;"Gerente de Frota; Gerente de operações de transportes;";Responsável por atuar com a gestão de equipe e com a rotina de operação de transporte. Implanta e acompanha a gestão de rotas, gerencia custos de transportes e respectivos indicadores. Desenvolve alternativas de viabilidade econômica do negócio para aumento de receita e redução de custos fixos. Efetua a implantação e manutenção de ferramenta de rastreamento, central de monitoramento e gestão de qualidade no PCL (procedimentos, inteligência logística e sincronismo entre armazenagem e transportes).;;;;;;;;;;;;;;;;;;;
114;Gerente Financeiro;"Gerente de Cobrança; Gerente de Contas a Pagar; Gerente de Contas a Receber; Gerente de Crédito; Gerente de Serviços Financeiros";Exercer a gerência das operações financeiras e dos riscos na empresa. Gerenciar recursos humanos, administrar recursos materiais e serviços terceirizados de sua área de competência. Planejar, dirigir e controlar os recursos e as atividades da organização, com o objetivo de minimizar o impacto financeiro da materialização dos riscos. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
873;Gerente Industrial;;"Exercem a gerência das indústrias de transformação e extração mineral; definem e implementam plano operacional, analisando a demanda de produtos, a capacidade produtiva e recursos auxiliares, elaborando plano de racionalização e redução de custos, plano de investimentos, orçamento de despesas e necessidades de matérias-primas; planejam a produção, programando mão-de-obra e paradas ou intervenções em máquinas, equipamentos e instrumentos industriais; gerenciam equipes de trabalho, administrando salários, admissões, demissões, promoções e promovendo o desenvolvimento das equipes por meio de cursos e treinamentos; asseguram e promovem o cumprimento das ações de proteção ao meio ambiente e também pelas normas de higiene e segurança no trabalho, por meio de orientações às suas equipes; desenvolvem e implantam métodos e técnicas que visam melhorar e otimizar o processo de produção; gerenciam áreas de manutenção, engenharia de processos e logística. Entre outras atividades pertinentes ao cargo.";;;;;;;;;;;;;;;;;;;
148;Gerente Jurídico;"Gerente de Assuntos Jurídicos;
Gerente de Compliance;
Gerente de Estratégia Jurídica;
Gerente de Relações Jurídicas;
Gerente de Serviços Jurídicos;
Gerente Legal;";Representar e defender os interesses da instituição, prestando assessoria jurídica nas áreas comercial, cível, tributária, trabalhista, entre outras. Atuar tanto nos aspectos preventivos quanto na administração do contencioso, sugerindo medidas para resguardar os interesses e garantir a segurança jurídica dos atos e decisões da empresa. Coordenar a equipe jurídica, elaborar pareceres e documentos jurídicos, e promover a conformidade com as normas e regulamentos. Colaborar com outras áreas da empresa para identificar e mitigar riscos legais, assegurando a integridade e a eficácia das operações. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
870;Inspetor de Qualidade;"Agente de inspeção (qualidade); Controlador de qualidade; Inspetor de chopp; Inspetor de ferramentas; Inspetor de fundição; Inspetor de linha de montagem; Inspetor de linha de produção; Inspetor de linha de transmissão; Inspetor de linhas de cabos aéreos; Inspetor de montagem; Inspetor de qualidade - nas indústrias; Inspetor de qualidade material; Inspetor geral de produção";"Inspecionam o recebimento e organizam o armazenamento e movimentação de insumos; verificam conformidade de processos; liberam produtos e serviços; trabalham de acordo com normas e procedimentos técnicos, de qualidade e de segurança e demonstram domínio de conhecimentos técnicos específicos da área. Entre outras atividades pertinentes ao cargo.";;;;;;;;;;;;;;;;;;;
1091;Inspetor de Qualidade Externo;;Realizar inspeções conforme normas pré-estabelecidas, de acordo com o cronograma determinado pelo Supervisor, CD ou pelo faccionista. Monitorar e acompanhar o processo de produção nos prestadores de serviços. Ser ponto de apoio para dúvidas com relação a produção, regulagem de máquina, ficha técnica, amostra e matéria-prima. Liberar a produção junto ao prestador de serviços, ainda que haja divergências, após autorização do Supervisor. Resolver diretamente junto aos prestadores de serviços, os problemas relacionados a qualidade, sempre que solicitado. Informar ao Supervisor sobre as inspeções realizadas nos prestadores de serviços. Encaminhar laudo de inspeção. Relatar problemas identificados nos lotes reprovados no prestador de serviço juntamente com o laudo de inspeção e, quando necessário, fotografar. Preencher e enviar laudos de inspeção para a Gestão da Qualidade.;;;;;;;;;;;;;;;;;;;
797;Laboratorista Têxtil;;Executar ensaios físicos, químicos, metalográficos e biológicos. Garantir a calibragem dos equipamentos. Formular receitas e misturas. Realizar testes e amostragem de materiais. Trabalhar segundo normas de segurança, saúde e meio ambiente. Contribuir para o sistema da qualidade da empresa. Contribuir para o desenvolvimento de novos produtos e fornecedores. Colaborar no desenvolvimento de metodologias de análises. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
1187;Líder de Armazém;;Liderar as operações do armazém, organizando os processos de recebimento, armazenamento, separação e expedição de mercadorias. Garantir o cumprimento das normas de segurança, controle de inventário, layout e procedimentos operacionais. Treinar e orientar de forma técnica a equipe de armazém, assegurando a eficiência no fluxo de materiais e a integridade dos produtos estocados. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
968;Líder de Expedição;"Líder de depósito; Líder de estoque";Liderar, treinar e orientar a equipe do setor de expedição e depósito. Gerar relatórios de mercadorias para as lojas. Supervisionar as equipes para a separação de mercadorias e no processo de inventário. Acompanhar a montagem dos paletes para a expedição. Manter a limpeza e organização do ambiente. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
1046;Líder de Operações;;Acompanhar a equipe e demanda diária de serviço, treinamento e orientação nos processos, na utilização de equipamentos e nas atividades. Elaborar documentos necessários pertinentes ao processo, envio de relatórios e troca de informações. Participar do planejamento, melhoria e divulgação do processo visando o atendimento dos programas estabelecidos.;;;;;;;;;;;;;;;;;;;
1191;Líder Gate;"Líder de Portaria Logística; Líder de Controle de Acesso Logístico";Liderar e coordenar as atividades de acesso de veículos e cargas nas dependências da empresa, assegurando a fluidez das operações logísticas e o cumprimento dos procedimentos de segurança, horários e agendamentos. Supervisionar a equipe responsável pelo gate, acompanhar indicadores operacionais e atuar na resolução de não conformidades, contribuindo para a organização e a eficiência do fluxo logístico. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
819;Mecânico de Manutenção de Máquinas;Caldeiro de Manutenção;"Realizam manutenção em componentes, equipamentos e máquinas industriais; planejam atividades de manutenção; avaliam condições de funcionamento e desempenho de componentes de máquinas e equipamentos; lubrificam máquinas, componentes e ferramentas. Documentam informações técnicas; realizam ações de qualidade e preservação ambiental e trabalham segundo normas de segurança.Entre outras atividades pertinentes ao cargo.";;;;;;;;;;;;;;;;;;;
1095;Mecânico de Manutenção Teares;Mecânico de Tecelagem;Realizar as atividades de manutenção preventiva e corretiva de máquinas e equipamentos como: caldeiras, ramas, calandras, máquinas de tingimento, secadores, felpadeiras, vaporizadeiras, hidroextratores, máquinas de estamparia rotativa, aquecedores de fluído térmico, estação de tratamento de efluentes e afluentes, entre outros. Proceder a montagem e desmontagem de peças, equipamentos e motores, trocas de selos, cilindros, entre outros. Fazer lubrificação de partes moveis das maquinas e troca de óleo, realizar ajustes, regulagem e testes do equipamentos e maquinas, Assegurar o bom funcionamentos do maquinário da empresa, trabalhar em conformidade com as normas e procedimentos técnicos de qualidade, segurança, meio ambiente e saúde.;;;;;;;;;;;;;;;;;;;
623;Modelista;;Modelar confecções de peças e roupas em geral para costura em tecidos, couros e peles. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
356;Montador;;Executar processo de pré-montagem e montagem de equipamentos na fábrica, ou externamente, validando tais etapas conforme instruções de montagem. Efetuar ajustes mecânicos nos equipamentos em fabricação. Interpretar desenho e conferir medidas e detalhes conforme projeto. Pré-testar e testar equipamentos com seus acionamentos. Efetuar assistência técnica de equipamentos na fábrica. Montar sistemas hidráulicos e pneumáticos. Realizar ajustes mecânicos finos nos equipamentos em fabricação. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
151;Motorista;;"Dirigir os veículos da empresa exceto caminhão, transportando pessoas, peças, cargas ou valores;  Atuar na carga e descarga de mercadorias e entrega de produtos segundo os itinerários passado pelo superior imediato; Transportar com segurança e zelo, documentos, peças, equipamentos e produtos acabados para atendimento ao cliente interno e externo, dentro e fora do município;  Reportar-se direta ou indiretamente aos diversos setores da empresa (Administrativo, Financeiro, Compras, Manutenção, Segurança); Zelar pela manutenção e conservação do veículo da empresa, executando suas tarefas seguindo as normas de segurança, higiene, qualidade e proteção ao meio ambiente;";;;;;;;;;;;;;;;;;;;
874;Motorista Carreteiro;Motorista de Caminhão de Carga;"Fazer entregas e coletas usando o caminhão da empresa conforme programação fora do estado de Santa Catarina;  Auxiliar no carregamento e descarregamento; Fazer coletas e entregas de outros materiais quando solicitado; Fazer o checklist do romaneio do carregamento do caminhão conforme programação já estabelecida; Ser responsável pela limpeza e preservação do patrimônio da empresa; Conduzir veículos dos diversos tipos, em conformidade com a licença para dirigir, em diversos tipos de transporte. Monitorar e executar procedimentos de segurança e de manutenção do veículo periodicamente, conforme normas e recomendações aplicáveis. Verificar itinerários e condições de tráfego para garantir a realização do percurso. Conduzir de forma segura e dentro das normas de trânsito, preservando a integridade e a segurança de pessoas e dos conteúdos transportados. Entre outras atividades pertinentes ao cargo.";;;;;;;;;;;;;;;;;;;
958;Motorista de Caminhão;"Motorista (D); Motorista (E); Motorista Rodoviário";"Fazer entregas e coletas usando o caminhão da empresa conforme programação no estado de Santa Catarina;  Auxiliar no carregamento e descarregamento; Fazer coletas e entregas de outros materiais quando solicitado; Fazer o checklist do romaneio do carregamento do caminhão conforme programação já estabelecida; Ser responsável pela limpeza e preservação do patrimônio da empresa; Conduzir veículos dos diversos tipos, em conformidade com a licença para dirigir, em diversos tipos de transporte. Monitorar e executar procedimentos de segurança e de manutenção do veículo periodicamente, conforme normas e recomendações aplicáveis. Verificar itinerários e condições de tráfego para garantir a realização do percurso. Orientar e acomodar passageiros. Armazenar bagagens, encomendas ou cargas de forma adequada. Conduzir de forma segura e dentro das normas de trânsito, preservando a integridade e a segurança de pessoas e dos conteúdos transportados. Entre outras atividades pertinentes ao cargo.";;;;;;;;;;;;;;;;;;;
769;Operador CNC;;Preparar, regular e operar máquinas de Fresa. Ajustar ferramentas. Realizar testes e controle de ferramental. Documentar processos, resultados e controles de produção. Trabalhar seguindo normas de segurança, higiene, qualidade e preservação ambiental. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
1109;Operador Conicaleira;;"Descer a máquina visando retirar amostras solicitadas pelo controle de qualidade; Identificar condições inseguras de trabalho; Comunicar irregularidades nos dispositivos de segurança dos equipamentos; Ssugerir melhorias de operação das máquinas;";;;;;;;;;;;;;;;;;;;
802;Operador de Calandra;;Checar especificações e condições da malha antes de passar pelo processo. Regular e operar o equipamento. Garantir o correto funcionamento e limpeza do equipamento. Trabalhar seguindo normas de segurança, higiene, qualidade e proteção ao meio ambiente. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
886;Operador de Caldeira;Caldeireiro;Controla o funcionamento da caldeira e a qualidade da água ou do combustível, manejando dispositivos de controle para o fornecimento de vapor e para a produção de calor e energia térmica. Realizar a manutenção e controle contínuos para assegurar seu correto funcionamento com segurança. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
885;Operador de Centro de Usinagem;;Opera e programa máquinas de comando numérico para usinagem de peças. Interpreta ordens de produção, projetos, desenhos ou esquemas, identifica ferramentas e ajusta medidas. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
1096;Operador de Corte de Viés;;Preparar, regular e operar máquina de corte visando controlar os parâmetros, qualidade e aplicar procedimentos de segurança.;;;;;;;;;;;;;;;;;;;
1097;Operador de Embaladeira;;"Buscar o palete e posicionar em frente a máquina visando carregar a esteira; Operar a máquina embaladeira visando acompanhar o processo; Efetuar a retirada da malha com a ação de embalar, providenciar a baixa no sistema e acondicionar a mesma em local adequado na expedição; Manter a organização e limpeza do local de trabalho bem como da expedição e o local onde ficam os paletes; Acompanhar a entrega dos tubetes, da embalagem, venda de ourela e do retalho de malha por meio de análises com o objetivo de garantir a assertividade no processo;";;;;;;;;;;;;;;;;;;;
868;Operador de Empilhadeira;"Motorista de empilhadeira; Operador de empilhadeira elétrica; Operador de máquina empilhadeira";Preparam movimentação de carga e a movimentam utilizando empilhadeira. Organizam carga, interpretando simbologia das embalagens, armazenando de acordo com o prazo de validade do produto, identificando características da carga para transporte e armazenamento e separando carga não-conforme. Realizam manutenções previstas em equipamentos para movimentação de cargas. Trabalham seguindo normas de segurança, higiene, qualidade e proteção ao meio ambiente. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
1056;Operador de Empilhadeira de Grande Porte;"Operador de Reach Stacker;";Efetuar operações de carga e descarga com segurança utilizando máquinas empilhadeiras de grande porte, bem como zelar pelo melhor desempenho e rendimento da máquina, evitando manutenções corretivas e atendendo o disposto nas normas de segurança. Preparar, armazenar e movimentar cargas. Organizar a carga, interpretando as simbologias das embalagens. Movimentar cargas de acordo com padrões do planejamento operacional. Avaliar as condições de funcionamento do equipamento. Conhecer as diretrizes de QSMS - Qualidade, segurança no trabalho , meio ambiente e saúde ocupacional.;;;;;;;;;;;;;;;;;;;
1099;Operador de Entrada de Rama;;"Finalizar os acabamentos dos turnos anteriores visando a correta sequência das atividades; Verificar a programação de produção do dia visando analisar os produtos acabados, semiacabados ou intermediários para dar sequência; Conferir todos os materiais necessários para execução dos trabalhos programados com o objetivo de garantir a realização e finalização de todos; Operar máquina de Rama visando realizar o processo de Ramagem das OS's programadas no dia; Limpar os equipamentos para garantir o bom funcionamento dos processos produtivos e a correta finalização das malhas; Seguir as determinações de produção para cada artigo de acordo com as OS's visando identificar possíveis falhas e encaminhar para as devidas providências.";;;;;;;;;;;;;;;;;;;
875;Operador de estação de tratamento de água e efluentes;;Monitoram o recebimento de resíduos industriais e urbanos, operam fornos de incineração e controlam o processo de tratamento de água e efluentes. Realizam amostragem de resíduos e efluentes, dosam soluções químicas e operam equipamentos eletromecânicos. Documentam dados do processo de tratamento e controlam materiais e produtos utilizados na estação de tratamento de água, efluentes e resíduos industriais. Trabalham em conformidade a normas e procedimentos técnicos e de qualidade, segurança, higiene, saúde e preservação ambiental. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
1101;Operador de Estamparia Digital;;"Operar e monitorar a máquina durante o processo visando receber tecidos e transfers e efetuar cortes de transfer para aplicação. Realizar o rebobinamento de tecidos para aplicação visando programar a aplicação de acordo com o cronograma, pesar rolos aplicados e embalar em plásticos e caixas com o objetivo de emitir etiquetas da produção e romaneios de controle em sistema interno vistoriar os componentes utilizados na máquina, para manter o bom funcionamento. Realizar a operação da máquina com o objetivo de zelar pela produção e encaixes dos desenhos; Auxiliar na organização do departamento e separação dos cilindros visando a limpeza dos mesmos.";;;;;;;;;;;;;;;;;;;
1055;Operador de Gate;;Profissional responsável por imputar no sistema os dados referente ao recebimento do container e carga assim que chegam no Terminal. Assegurar que as informações lançadas no agendamento estão corretas para não gerar conflito no embarque. Acompanhar e controlar a entrada e saída de veículos, pessoas, mercadorias e containers do terminal, assegurando o resultado do processo de acordo com o programado.;;;;;;;;;;;;;;;;;;;
1098;Operador de Hidro Extrator;"Maquina de abrir; Operador de máquina de lavar fios e tecidos; Operador Hidro Abridor; Operador Hidro Rachador";"Operar a máquina de hidroextrator com a ação de ligar o ar, fechar o cilindro, encher a caixa de água, abastecer com amaciante, bem como costurar a malha, ligar a plataforma e passar a malha na máquina visando o correto preparo dos produtos; Verificar de acordo com a OP se haverá troca e cor do tecido visando lavar a máquina com o objetivo de garantir a não mistura de cores; Programar a receita no sistema da máquina hidroextrator com a ação de enviar para a máquina de preparo e garantir a correta execução da limpeza dos fios e tecidos; Abastecer a máquina hidroextrator visando garantir o seu correto funcionamento; Costurar a malha na guia para dar início ao processo de construção do produto; Embalar a malha após sair da máquina visando dobrar e guardar corretamente com o objetivo de encaminhar para o Setor de Expedição; Operações de máquinas de abrir; ";;;;;;;;;;;;;;;;;;;
1035;Operador de Produtos Abrasivos;"Operador de Jato Abrasivo; Revestidor";Efetuar o jateamento de peças em aço inox com jato de microesferas de vidro. Executar acabamento de peças e equipamentos utilizando lixadeira, esmerilhadeira, fosqueadeira e gel decapante.;;;;;;;;;;;;;;;;;;;
1000;Operador de Logistica;;"Executar o recebimento fiscal de materiais conferindo informações relativas a tipos de materiais, especificações e respectivos volumes;
 Executar recebimento físico de materiais com uso de empilhadeiras ou bombas identificando os materiais e seus lotes e acondicionar os materiais em embalagens, prateleiras ou tanques; Movimentar materiais procedendo com as transferências (no sistema); Executar a contagem de materiais mediante inventário; Selecionar, conferir e identificar e embalar materiais a serem expedidos; Realizar o carregamento de cargas com uso de empilhadeira ou bombas.";;;;;;;;;;;;;;;;;;;
1132;Operador de Maquina de Têxtil;"Operador de Destorcedeira; Operador de Tosquiadeira; Operador de Tumbler;";"Conferir, ler, preencher e assinar a Ordem de Produção garantindo a precisão das informações; Conferir o código, produto, tamanho, cor e o lote a ser produzido; Controlar o funcionamento das máquinas, mantendo-as limpas e organizadas; Parar as máquinas para limpeza no horário determinado; Abastecer as máquinas com materiais adequados e programá-las conforme as especificações da ordem de produção, ajustar o contador para quantidade, tamanho e espaçamento, utilizando-se de uma escala milimétrica; Abastecer as máquinas com óleo adequado;                                                                                       Operar seis (06) máquinas; Operar máquinas relacionadas a operação têxtil assegurando a qualidade e eficiência do processo;";;;;;;;;;;;;;;;;;;;
614;Operador de Máquina Prensa Hidráulica e Corte;"Operador de Máquina de Corte; Operador Industrial; Preparador de Máquina";Interpretar desenho e conferir medidas e detalhes conforme projeto. Separar/pegar material destinado a confecção de peças conforme projeto. Realizar limpeza, lubrificação, conforme recomendação do manual. Operar máquina de corte: metaleira. Operar máquinas de corte de barras e tubos: serra, lixadeira. Operar prensa hidráulica. Organizar estoque de barras e tubos. Registrar os materiais cortados no desenho. Solicitar baixa de materiais com apoio do almoxarifado. Solicitar baixa de materiais com apoio do almoxarifado. Organizar materiais cortados em pallets no setor de dobra ou usinagem conforme projeto.;;;;;;;;;;;;;;;;;;;
1105;Operador de Mesa Amostra;;"Operar a mesa de amostra com a ação de solicitar cilindros para a mesa, lavar o cilindro com a lava-jato se estiver entupido e lavar o tapete da mesa a fim de garantir que os processos da mesa de amostra sejam realizados com assertividade; Colar o tecido no tapete da mesa com a ação de ajustar o encaixe do cilindro e lavar os recipientes das tintas; Levar e buscar amostras na Tinturaria/Beneficiamento para lavar; Secar as amostras; Preparar tintas para mesa de amostra; Preparar pasta para mesa de amostra; Secar as amostras;";;;;;;;;;;;;;;;;;;;
1001;Operador de Produção;"Operador Boiler; Operador de Disco de Corte; Operador de Furadeira; Operador de Injetora; Operador de Martelete; Operador de Robô";Realizar operações manuais e/ou de máquinas e equipamentos para a produção e montagem de componentes e produtos, visando atender aos prazos, quantidades e padrões de qualidade pré-estabelecidos. Realizar interfaces de turnos de trabalho, programam atividades de produção e monitoram funcionamento de equipamentos e sistemas. controlam parâmetros do processo produtivo, operam suas etapas e movimentam materiais e insumos. transformam polímeros em produtos intermediários ou finais e realizam manutenção de primeiro nível. Trabalham em conformidade com as normas e procedimentos técnicos de qualidade, segurança, higiene, saúde e preservação ambiental.;;;;;;;;;;;;;;;;;;;
799;Operador de Rama (Rameuse);;Organizar a área de trabalho para realizar as atividades. Checar especificações e condições da malha antes de passar pelo processo. Regular e operar a Rama. Garantir o correto funcionamento e limpeza do equipamento. Trabalhar seguindo normas de segurança, higiene, qualidade e proteção ao meio ambiente. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
1104;Operador de Saída de Rama;;"Conferir o material que será utilizado de acordo com a ordem de produção visando garantir que não faltem produtos durante a produção; Preparar a máquina para receber a malha de acordo com a programação da máquina feita pelo Operador de Entrada de Rama; Realizar o passamento, conferir a largura da malha e cortes de ourela visando verificar se existe algum problema na malha como furos, manchas, tonalidades a fim de realizar a correção; Separar os rolos com problemas visando preencher o formulário de não conformidade e informar o Encarregado; Verificar se a gramatura está de acordo com a programação e informar ao Operador de Entrada de Rama caso identifique alguma irregularidade; Conferir número de peças e etiquetas a fim de garantir que estejam de acordo com o planejado;";;;;;;;;;;;;;;;;;;;
1107;Operador de Secador;;"Buscar a malha do setor lavadeira visando operar a máquina de secar e retirar a malha seca para encaminhar ao próximo processo calandra ou vaporizador; Depositar a malha seca no estoque; Encaminhar amostra para o Laboratório ao final do processo de secagem com a ação de identificar o nome do cliente, cor e número da OP.";;;;;;;;;;;;;;;;;;;
